title,award,critic,public
The Wolf of Wall Street,Oscar,"The Wolf of Wall Street is a magnificent black comedy: fast, funny, and remarkably filthy.","Great movie, funny and entertaining"
,,"Here is a white-collar crime caper that stirs golden memories of the Scorsese back catalogue, often quite knowingly and sometimes to a fault.",Another overrated movie.
,,"A big, unruly bacchanal of a movie that huffs and puffs and nearly blows its own house down, but holds together by sheer virtue of its furious filmmaking energy and a Leonardo DiCaprio star turn so electric it could wake the dead.",It's just decent movie with slight above average story. Basically it's for people who are into finance and stuffs.
,,"A brazen three-hour cinematic bender of sex and drugs set to the tune of financial chaos, ""The Wolf of Wall Street"" is undoubtedly the craziest movie of Martin Scorsese's career.",Great movie every second was with purpose
,,"A terrific and fascinating movie, but it stops short of masterpiece territory.",Why make that book into a movie? It's not entertaining. It's not funny. It's not fun. Yuck.
,,"The Wolf of Wall Street plays modern tragedy as epic farce, reminding us just how much fun Scorsese can be when he's in a playful mood.","Well acted, directed, and fiendishly engaging. (B+)"
,,"Working with a gutsy script by The Sopranos' Terence Winter, Scorsese is jabbing hard at America's jackpot culture. The laughs are merciless and nonstop, every one with a sting in its tail.",People blame this movie for reality it portrayed. It was a clever way to tell a story.
,,"The Wolf of Wall Street is a slippery beast, both beguiling and repellent on the surface, more difficult to pin down the deeper you look, and shifty in ways that I found intoxicating.","Great movie!! It definitely does not feel like three hours long and while it isn't Scorsese's best work, it's still a must watch, and the sex and drugs is not as shocking as others make it out to be, and Leo's performance is incredible and is one of the funniest performances I have seen in a long time!"
,,"Whether he's on the phone luring someone to send him a check for a dicey investment, or flopping around the floor after ingesting too many quaaludes, DiCaprio hits the jackpot.","The biggest issue with this film is its length. I can't tell if it's my attention span or whether story telling should go on for this long. I'm not sure why Scorsese doesn't feel the need to edit. The film has plenty of entertaining moments, but if it were condensed, the film would be ten times more tolerable. I love stories with dark themes as much as the next guy but to say this film doesn't promote every bad thing in the bible would be a textbook example of denial. The tagline should be ""If you become a criminal, fraud, alcoholic, drug and sex addict, don't worry you can just become a motivational speaker when it's all said and done."""
,,"Wild, offbeat and insane, ""The Wolf of Wall Street"" is one of the year's best films and a definite career-topper for DiCaprio who, with Scorsese, have given us another phenomenal collaboration","One of the worst films I've ever seen. Entirely irritating from start to finish. Horrible characters, over the top, annoying acting, no redemption/gratification plot wise, absolutely no reason to watch this film....looks fairly slick but so what?"
,,,Underrated classic and one of the most rewatchable films of all time. 10/10 performance from Leo ofcourse. This film cemented his legend
,,,"Tried to finish it, but couldn't stand how STUPID it got, to the point of being a waste of time. Obviously over-hyped high rating. Grade: D"
,,,"The movie focuses less on the art of persuasion and more on the sex and drugs escapades of the main characters. While at times funny and well acted to an extent, it loses focus and drags on with their crazy ""rock star"" like lifestyles."
,,,Very entertaining movie. Not one of my favorite Leo performances. I thought Jonah Hill was great. It really drags a lot in the middle of the film. I think the film is a tad too long but it's still good.
,,,The story line was hard to follow unless you set though the entirely of the movie. The only good thing about this was the rating they gave and the end. That's three hours of my life I'll never get back. It was distasteful to the human eye.
,,,"I normally love everything Leo does, but this movie just left me so mentally exhausted."
,,,"The Wolf of Wall Street may be an entertaining film based on a true story, but it places too much emphasis on style over substance and fails to become anything more than a compilation of short memoirs from Jordan Belfort's life."
,,,"I can appreciate aspects of this film, of course, but certainly wouldn't recommend it to anyone."
,,,"It was shocking but I loved the story, the dark humour and the acting...:) Especially Leo DiCaprio was a killer! :)"
,,,"a tale of how quick you can go from nothing to something..back to nothing. Leo plays the part and sells the life in a fun film thats easy to imagine if ya smooth on the phone. s/o Dustin Kearns , great actor used to receive a blow job while in an elevator during the good times at work during Leo's winning days on the Wall Street."
,,,his movie is fun filled but maybe a little bit to fun at some points. But really the story itself is just mind blowing.
,,,"Insane, dynamic and well acted. It shows the best and the worst of the wall street experience without it ever getting boring."
,,,Not for all tastes but definately a lot of fun for those who won't be too offended.
,,,"It's a hell of a fun ride, but that's about it. If you're expecting some rich character study or life lesson you won't find it here. That being said, I don't see this move as condoning the acts of Belfort either. It's merely a surface level look in to a world most of us won't ever get a better look at."
,,,"One of my favorite movies, every performance in fantastic, the writing and direction is amazing, and it's real fun."
,,,"Very well directed and acted. Interesting to see this mostly true story of an 80s/90s dishonest brokerage company. He roomed with Tommy Chong in prison, lol."
,,,"A brilliant movie with amazing acting, great script and awesome cast!"
,,,Entertaining but definitely overrated
,,,"Wow- what a wild roller-coaster of a movie! Leonardo Dicaprio and Martin Scorsese have made great movie magic together once again with a stellar cast to tell a very entertaining version of Jordan Belfort's story. Jordan Belfort was a stock broker who put together a band of misfits who violated many securities laws to become rich, high and decadent. Highly recommended!"
,,,"A little too focused on outlandishness and vulgarity, I still found the Wolf of Wall Street quite enjoyable, thanks to the brilliant performances, some humorous moments, and a generally captivating story"
,,,
12 Years a Slave,Oscars,"A strong, involving, at times overstated telling of an extraordinary life story.","There are so many movies that has had a huge impact on our world as we know it, and unfortunately, not so many people watch these movies. This, however, is a movie that I believe should be shown in history classes in school's because, this really is a movie that everybody should watch. Steve McQueen once again shows us his beautiful range in this beautiful movie that surely is a so-called masterpiece."
,,"Stark, visceral and unrelenting, 12 Years a Slave is not just a great film but a necessary one.",(95/100) 12 Years a Slave is a masterpiece. Steve McQueen is able to bring a heart wrenching story about the brutality of slavery while being able to give the characters a real personality. Overall just a beautiful movie about something horrific.
,,12 Years a Slave is easily the greatest feature film ever made about American slavery.,"Great! Definitely deserved the acclaim. Brought slavery to a very real place for many people. So many scenes have stuck in my mind since I first saw it. Great acting, powerful film."
,,"In the epic form of 12 Years a Slave, his most approachable, emotional film, McQueen escalates the tension.","12 Years a Slave is brutal, compelling and amazing. Brilliant performances (notably from Nyong'o) with brilliant editing ultimately deliver a very, very good movie."
,,The harrowing 12 Years a Slave is a mesmerizing period drama for the ages,"I don't get why the high rating of this movie. I absolutely hated it!!! And I want to know why in hell Lupita Nyong'o, got awards for this movie. Did she even have a full paragraph of dialogue? She cried every time she was on screen. The who movie sucked. I honestly thing someone payed someone at the Academy Awards, to win so many, when none were deserved."
,,"A harrowing, unforgettable drama that doesn't look away from the reality of slavery and, in so doing, helps us all fully, truly confront it.","There are so many movies that has had a huge impact on our world as we know it, and unfortunately, not so many people watch these movies. This, however, is a movie that I believe should be shown in history classes in school's because, this really is a movie that everybody should watch. Steve McQueen once again shows us his beautiful range in this beautiful movie that surely is a so-called masterpiece."
,,"12 Years a Slave, British director Steve McQueen's antebellum Southern drama, sets a new standard in realistically depicting American slavery.",This movie was one of the worst movies I've ever seen. I feel like people rate it highly because of the subject matter. I'm no movie critic but I was excited to see this film and left the theater extremely disappointed.
,,"12 Years a Slave is likely the most painful, clear-eyed feature ever made about American slavery. In that light, it almost seems faint praise to add that it will also likely prove to be the best film of the year.","So much more than the ""white guilt"" label it's unfairly gotten. Steve McQueen continues to prove himself as one of the best working directors today. It's his most mainstream movie to date but this proves to me that he really know what he's doing and is careful in his selection of what to make. Everything about this movie is exceptional."
,,12 Years a Slave is at times difficult to watch but always impossible to turn away from.,Was it good? Yes. Under normal circumstances id give it a 3/5 but it won an oscar it didnt deserve. I went in expecting an amazing movie but was disapointed
,,One of the finest historical movies ever made.,Did NOT live up to the hype. Bland cast with unlikeable characters. Do not bother.
,,,"I was expecting more from this movie. While it was a very sad film, it was very slow-moving at times."
,,,"Well shot and emotionally resonant, albeit quite overrated (still better than the even more overrated Django Unchained). People seem to fear thinking freely when a movie deals with such a historically--and contemporarily--unpleasant subject."
,,,"12 Years A Slave is an intense movie. It's worth a watch, and I'm sorry I didn't see it in theaters. Compared to todays films, 12 Years is worthy of the accolades it received."
,,,Brilliant and worth watching. It's the best movie of 2013.
,,,"The end may feel underwhelming upon first viewing, despite staying true to the source material. However, it's unflinching realism, stunning attention to detail and perfect pacing make it a seminal, and illuminating film about one of the darkest subjects of American history. Everybody must see this movie at least once."
,,,"An exquisite piece of work. Sensational performances by birth main and supporting characters. A couple of unnecessary scenes, but overall a remarkable masterpiece."
,,,A good account of the past but just missing something.
,,,"A film that originally appeared to me as another political tear fest of seeing how black slaves were oppressed and feeling bad about being white (don't get me wrong, I have nothing against black people but sick of the politics behind it all) actually has a deeper meaning here when you see the brutal torment of our main character, Solomon Northup, in particular that pulls the movie through as something to emulate as deserving of it's nomination and later victory in Academy Awards. The film takes place in what is assumed to be the Antebellum South where Negro salves pick cotton and perform other grueling outdoor tasks for their white masters. Our main character is thrown into the mix while trying to prove he is free and getting no sympathy in return, being whipped and worked to death, told not to escape lest his life be not spared, and even being forced to whip a young Negro girl much to his heartbreak and dismay. The emotions are crystal clear and the film totally engulfs itself in the experience of slaves at the time. If you are weak at heart, or any other weak constitutions, I suggest you skip this one. This is the uncensored abuse in full bloom, constant whippings, hot sun, grueling work, bitter cruelty, the whole nine yards. You feel the pain watching this movie, and I think that's the heart of this film. Which like I said works to it's advantage, but I do wish they focused more on the narrative. The first hour or so focuses on merely the experience of the slaves. They work, they sing (very nice singing), they have families, they feel weary and hopeless yet committed. And while that's intriguing, I got more invested in every scene that showed Solomon's struggle. He wasn't supposed to be one of ""them"", an aspect to this brutal story that would have made this film stellar to me if it was brought out more. He gets his redemption at the end, he has conversations about it, but everything else is drawn out around him that it's fighting for room. Another nitpick I have is the titles on screen that tell of the setting of the movie and what became of Mr. Northup after he was finally freed. The font was incredibly small, and illegible without a magnifying glass. Maybe it's just me, but that was really distracting. Fundamentally, this is a good movie, even if it's not your favorite movie of the past year. It's emotionally resonant and tones down it's agenda enough to grab a broader scope than perhaps originally intended."
,,,"12 Years A Slave is essential viewing. Brutal, realistic and perfectly performed by Ejiofor and N'yongo, the film isn't exactly fun or entirely entertaining but it is powerful and real and feels extremely respectful to history. Rating: 83"
,,,What an awesome movie. Makes you realise how lucky we are.
,,,"Amazing. A phenomenal tale of hope, tragedy, love, and inhumanity. The most compelling and gruesome depiction of American chattel slavery I've seen, bound inextricably with the most heartbreaking display of strength and courage. A must see."
,,,10/10 Great film. Disturbing but powerful.
,,,"12 Years A Slave is not bad, but I think it's a little overrated, let me explain why. The main character isn't that interesting, the movie don't takes its time to make us care for the character. Some scenes are fast paced and that's a waste, because you could have really put some emotion. Some scenes are even too slow paced, it's not a bad thing to have slow paced scenes, but to pace these scenes slowly was useless and didn't really make sense. The score was done by Hans Zimmer and it distracted because it sounded so much like the Inception score, I can't be the only one who didn't notice. With all these things said I don't think this film is a bad film, there are some interesting characters, there are some good atmospheric and effective scenes and I think the acting is great. I liked it for what it was, but while watching I thought this Best Picture winner could be much better."
